,time,Ftot,Fsum,FadvA,FadvB,Fdiffus,shorten,angle,drho,bottom
34,4.2927130898,-3.35213894523e+12,-2.93644252205e+12,-2.05045216178e+12,-4.48743539899e+12,3.60144503872e+12,299.657534247,30.0,39.0,0.0
35,4.41162480974,-3.36789899747e+12,-2.94161142728e+12,-2.05429341887e+12,-4.70629997399e+12,3.81898196558e+12,307.981354642,30.0,39.0,0.0
36,4.53053652968,-3.38182286648e+12,-2.94502509974e+12,-2.05798793798e+12,-4.92934236536e+12,4.0423052036e+12,316.305175038,30.0,39.0,0.0
37,4.64944824962,-3.39358323242e+12,-2.94635392306e+12,-2.06154527637e+12,-5.15650806906e+12,4.27169942238e+12,324.628995434,30.0,39.0,0.0
38,4.76835996956,-3.40305902922e+12,-2.94547464499e+12,-2.06497406839e+12,-5.38772572042e+12,4.50722514381e+12,332.95281583,30.0,39.0,0.0
39,4.8872716895,-3.41034061801e+12,-2.94247554272e+12,-2.06828214724e+12,-5.62286335075e+12,4.74866995528e+12,341.276636225,30.0,39.0,0.0
40,5.00618340944,-3.41084323771e+12,-2.93276986626e+12,-2.07147664573e+12,-5.86180723613e+12,5.00051401561e+12,349.600456621,30.0,39.0,0.0
41,5.12509512938,-3.41638832573e+12,-2.92817715278e+12,-2.07456408049e+12,-6.10262560784e+12,5.24901253555e+12,357.924277017,30.0,39.0,0.0
42,5.24400684932,-3.42057839114e+12,-2.92229809398e+12,-2.07755042329e+12,-6.34785656846e+12,5.50310889777e+12,366.248097412,30.0,39.0,0.0
43,5.36291856925,-3.42336997169e+12,-2.91508748781e+12,-2.08044116189e+12,-6.59745642542e+12,5.7628100995e+12,374.571917808,30.0,39.0,0.0
44,5.48183028919,-3.42502234536e+12,-2.90680294527e+12,-2.08324135222e+12,-6.85130147369e+12,6.02773988063e+12,382.895738204,30.0,39.0,0.0
45,5.60074200913,-3.42522905559e+12,-2.89713641122e+12,-2.0859556636e+12,-7.10919748063e+12,6.298016733e+12,391.2195586,30.0,39.0,0.0
46,5.71965372907,-3.41952779774e+12,-2.88162404679e+12,-2.08858841786e+12,-7.37071891683e+12,6.57768328791e+12,399.543378995,30.0,39.0,0.0
47,5.83856544901,-3.41992125336e+12,-2.87226705993e+12,-2.09114362365e+12,-7.63588070467e+12,6.85475726839e+12,407.867199391,30.0,39.0,0.0
48,5.95747716895,-3.41972790183e+12,-2.86238251367e+12,-2.09362500641e+12,-7.90571256924e+12,7.13695506198e+12,416.191019787,30.0,39.0,0.0
49,6.07638888889,-3.41928243498e+12,-2.85230373749e+12,-2.0960360348e+12,-8.18008350859e+12,7.4238158059e+12,424.514840183,30.0,39.0,0.0
50,6.19530060883,-3.41826275529e+12,-2.84170732261e+12,-2.09837994404e+12,-8.45884083596e+12,7.71551345739e+12,432.838660578,30.0,39.0,0.0
51,6.31421232877,-3.416447662e+12,-2.83037080538e+12,-2.10065975659e+12,-8.74186576983e+12,8.01215472105e+12,441.162480974,30.0,39.0,0.0
52,6.43312404871,-3.40936300407e+12,-2.81381881766e+12,-2.1028783006e+12,-9.02823103477e+12,8.31729051771e+12,449.48630137,30.0,39.0,0.0
53,6.55203576865,-3.40967137749e+12,-2.80471278181e+12,-2.10503822629e+12,-9.32001939235e+12,8.62034483683e+12,457.810121766,30.0,39.0,0.0
54,6.67094748858,-3.41048446402e+12,-2.7961632472e+12,-2.10714202065e+12,-9.61661366339e+12,8.92759243684e+12,466.133942161,30.0,39.0,0.0
55,6.78985920852,-3.41145063577e+12,-2.78781749273e+12,-2.10919202068e+12,-9.91787892548e+12,9.23925345343e+12,474.457762557,30.0,39.0,0.0
56,6.90877092846,-3.41240866796e+12,-2.77951323767e+12,-2.1111904252e+12,-1.02237105176e+13,9.55538770509e+12,482.781582953,30.0,39.0,0.0
57,7.0276826484,-3.4133751441e+12,-2.77126604502e+12,-2.11313930555e+12,-1.05339989593e+13,9.87587221984e+12,491.105403349,30.0,39.0,0.0
58,7.14659436834,-3.40954863943e+12,-2.75827350331e+12,-2.1150406153e+12,-1.08471778869e+13,1.02039449989e+13,499.429223744,30.0,39.0,0.0
59,7.26550608828,-3.41496480672e+12,-2.75457031076e+12,-2.11689619896e+12,-1.11675086158e+13,1.0529834504e+13,507.75304414,30.0,39.0,0.0
60,7.38441780822,-3.42111211925e+12,-2.75164401681e+12,-2.11870779998e+12,-1.14927624745e+13,1.08598262577e+13,516.076864536,30.0,39.0,0.0
61,7.50332952816,-3.42788719908e+12,-2.74939034899e+12,-2.12047706793e+12,-1.18228570403e+13,1.11939437593e+13,524.400684932,30.0,39.0,0.0
62,7.6222412481,-3.43546765126e+12,-2.74798604579e+12,-2.12220556514e+12,-1.21577258319e+13,1.15319453512e+13,532.724505327,30.0,39.0,0.0
63,7.74115296804,-3.4435318482e+12,-2.74710863983e+12,-2.12389477269e+12,-1.24971550071e+13,1.18739411399e+13,541.048325723,30.0,39.0,0.0
64,7.86006468798,-3.44693735405e+12,-2.74161488105e+12,-2.12554609591e+12,-1.28390761289e+13,1.22230073438e+13,549.372146119,30.0,39.0,0.0
65,7.97897640791,-3.46120791203e+12,-2.74702772293e+12,-2.12716086945e+12,-1.31900492197e+13,1.25701823662e+13,557.695966514,30.0,39.0,0.0
66,8.09788812785,-3.47670059607e+12,-2.75370347311e+12,-2.12874036187e+12,-1.35461382866e+13,1.29211751754e+13,566.01978691,30.0,39.0,0.0
67,8.21679984779,-3.49369663361e+12,-2.76192261523e+12,-2.13028577993e+12,-1.39073136112e+13,1.32756767758e+13,574.343607306,30.0,39.0,0.0
68,8.33571156773,-3.51182267866e+12,-2.771311081e+12,-2.13179827247e+12,-1.4273351043e+13,1.36338382345e+13,582.667427702,30.0,39.0,0.0
69,8.45462328767,-3.53079876345e+12,-2.78158820101e+12,-2.13327893404e+12,-1.46440764801e+13,1.39957672132e+13,590.991248097,30.0,39.0,0.0
70,8.57353500761,-3.54513646044e+12,-2.78726486593e+12,-2.13472880824e+12,-1.50168381725e+13,1.43643021148e+13,599.315068493,30.0,39.0,0.0
71,8.69244672755,-3.5720682502e+12,-2.80557289356e+12,-2.13614889077e+12,-1.54005641572e+13,1.47311401544e+13,607.638888889,30.0,39.0,0.0
72,8.81135844749,-3.60110056389e+12,-2.82601807056e+12,-2.13754013228e+12,-1.57896603897e+13,1.51011824514e+13,615.962709285,30.0,39.0,0.0
73,8.93027016743,-3.63178811008e+12,-2.84815447862e+12,-2.13890344104e+12,-1.6183868066e+13,1.54746170284e+13,624.28652968,30.0,39.0,0.0
74,9.04918188737,-3.6638958297e+12,-2.87174644867e+12,-2.14023968538e+12,-1.6583020125e+13,1.58515133617e+13,632.610350076,30.0,39.0,0.0
75,9.16809360731,-3.6973972853e+12,-2.89676694951e+12,-2.14154969593e+12,-1.69870274353e+13,1.62318101817e+13,640.934170472,30.0,39.0,0.0
76,9.28700532725,-3.72627195944e+12,-2.91719488564e+12,-2.14283426777e+12,-1.7392563504e+13,1.66182028861e+13,649.257990868,30.0,39.0,0.0
77,9.40591704718,-3.76991666623e+12,-2.95242650817e+12,-2.1440941624e+12,-1.7811034469e+13,1.70027021233e+13,657.581811263,30.0,39.0,0.0
78,9.52482876712,-3.81556826803e+12,-2.98969813096e+12,-2.14533010956e+12,-1.82347787651e+13,1.73904107437e+13,665.905631659,30.0,39.0,0.0
79,9.64374048706,-3.86304916358e+12,-3.02883161829e+12,-2.14654280894e+12,-1.86636579315e+13,1.77813691222e+13,674.229452055,30.0,39.0,0.0
80,9.762652207,-3.91253794593e+12,-3.07000504221e+12,-2.14773293179e+12,-1.90976862366e+13,1.81754141262e+13,682.553272451,30.0,39.0,0.0
81,9.88156392694,-3.96367035299e+12,-3.11285363268e+12,-2.14890112241e+12,-1.95366117244e+13,1.85726592141e+13,690.877092846,30.0,39.0,0.0
82,10.0004756469,-4.00981423452e+12,-3.15074474406e+12,-2.15004799952e+12,-1.99764529553e+13,1.89757562108e+13,699.200913242,30.0,39.0,0.0
83,10.1193873668,-4.07251497002e+12,-3.20522327257e+12,-2.15117415763e+12,-2.04311460612e+13,1.93770969463e+13,707.524733638,30.0,39.0,0.0
84,10.2382990868,-4.13745552704e+12,-3.26197171419e+12,-2.15228016821e+12,-2.08911928414e+13,1.97815012954e+13,715.848554033,30.0,39.0,0.0
