,time,Ftot,Fsum,FadvA,FadvB,Fadv,Fdiffus,shorten,angle,drho,bottom
19186,230.66495433789953,13652193199888.66,14055056770476.822,-29224896298.59778,2691094331349.3833,2259026742634.211,11393187335426.047,922.6122526636225,30.0,78.0,0.0
19187,230.67684550989347,13651548824909.455,14054433273668.904,-29224896326.104855,2689360715066.8594,2257272248152.872,11394297454928.16,922.6598173515981,30.0,78.0,0.0
19188,230.68873668188738,13650905796929.951,14053811123860.672,-29224896353.594204,2687628326594.1943,2255518981481.429,11395407693620.082,922.7073820395739,30.0,78.0,0.0
19189,230.7006278538813,13650264111467.27,14053190316569.236,-29224896381.070724,2685897164066.124,2253766940754.615,11396518048884.191,922.7549467275494,30.0,78.0,0.0
19190,230.7125190258752,13649623764145.457,14052570847418.656,-29224896408.52572,2684167225623.5444,2252016124113.331,11397628518203.648,922.8025114155251,30.0,78.0,0.0
19191,230.7244101978691,13648984750689.627,14051952712134.033,-29224896435.967106,2682438509413.4277,2250266529704.543,11398739099156.586,922.8500761035008,30.0,78.0,0.0
19192,230.736301369863,13648347066920.54,14051335906536.139,-29224896463.389202,2680711013588.627,2248518155681.1094,11399849789410.914,922.8976407914763,30.0,78.0,0.0
19193,230.74819254185692,13647710708749.463,14050720426536.238,-29224896490.795685,2678984736307.6934,2246771000201.577,11400960586719.352,922.945205479452,30.0,78.0,0.0
19194,230.76008371385083,13647075672173.5,14050106268131.426,-29224896518.18555,2677259675734.773,2245025061430.095,11402071488914.854,922.9927701674277,30.0,78.0,0.0
19195,230.77197488584474,13646441953271.242,14049493427400.3,-29224896545.557457,2675535830039.4585,2243280337536.255,11403182493906.416,923.0403348554033,30.0,78.0,0.0
19196,230.78386605783865,13645809548198.516,14048881900498.691,-29224896572.914753,2673813197396.609,2241536826694.914,11404293599675.012,923.087899543379,30.0,78.0,0.0
19197,230.79575722983256,13645178453184.713,14048271683655.984,-29224896600.252537,2672091775986.276,2239794527086.1274,11405404804269.977,923.1354642313546,30.0,78.0,0.0
19198,230.8076484018265,13644548664529.14,14047662773171.484,-29224896627.576374,2670371563993.59,2238053436895.022,11406516105805.488,923.1830289193302,30.0,78.0,0.0
19199,230.8195395738204,13643920178597.705,14047055165411.107,-29224896654.88148,2668652559608.634,2236313554311.684,11407627502457.373,923.2305936073059,30.0,78.0,0.0
19200,230.83143074581432,13643292991819.752,14046448856804.191,-29224896682.169968,2666934761026.3438,2234574877531.048,11408738992460.035,923.2781582952816,30.0,78.0,0.0
19201,230.84332191780823,13642667100685.129,14045843843840.59,-29224896709.44128,2665218166446.368,2232837404752.762,11409850574103.68,923.3257229832573,30.0,78.0,0.0
19202,230.85521308980213,13642042501741.467,14045240123067.928,-29224896736.697536,2663502774073.0625,2231101134181.181,11410962245731.578,923.3732876712328,30.0,78.0,0.0
19203,230.86710426179604,13641419191591.582,14044637691089.023,-29224896763.93639,2661788582115.338,2229366064025.2183,11412074005737.639,923.4208523592085,30.0,78.0,0.0
19204,230.87899543378995,13640797166891.045,14044036544559.443,-29224896791.1583,2660075588786.59,2227632192498.268,11413185852564.03,923.4684170471842,30.0,78.0,0.0
19205,230.89088660578386,13640176424345.9,14043436680185.242,-29224896818.365147,2658363792304.6436,2225899517818.154,11414297784698.982,923.5159817351598,30.0,78.0,0.0
19206,230.90277777777777,13639556960710.498,14042838094720.762,-29224896845.55181,2656653190891.6016,2224168038206.9824,11415409800674.732,923.5635464231354,30.0,78.0,0.0
19207,230.91466894977168,13638938772785.508,14042240784966.678,-29224896872.72241,2654943782773.8916,2222437751891.178,11416521899065.53,923.6111111111111,30.0,78.0,0.0
19208,230.9265601217656,13638321857415.99,14041644747768.045,-29224896899.87773,2653235566182.089,2220708657101.316,11417634078485.854,923.6586757990867,30.0,78.0,0.0
19209,230.9384512937595,13637706211489.602,14041049980012.525,-29224896927.017105,2651528539350.905,2218980752072.107,11418746337588.654,923.7062404870624,30.0,78.0,0.0
19210,230.95034246575344,13637091831934.908,14040456478628.68,-29224896954.139755,2649822700519.1436,2217254035042.3564,11419858675063.693,923.7538051750381,30.0,78.0,0.0
19211,230.96223363774735,13636478715719.754,14039864240584.354,-29224896981.244442,2648118047929.5605,2215528504254.8213,11420971089636.057,923.8013698630137,30.0,78.0,0.0
19212,230.97412480974126,13635866859849.766,14039273262885.174,-29224897008.333294,2646414579828.902,2213804157956.2456,11422083580064.623,923.8489345509893,30.0,78.0,0.0
19213,230.98601598173516,13635256261366.904,14038683542573.102,-29224897035.40587,2644712294467.759,2212080994397.221,11423196145140.77,923.896499238965,30.0,78.0,0.0
19214,230.99790715372907,13634646917348.156,14038095076725.127,-29224897062.46093,2643011190100.609,2210359011832.2246,11424308783687.002,923.9440639269407,30.0,78.0,0.0
19215,231.00979832572298,13634038824904.178,14037507862451.9,-29224897089.49948,2641311264985.6846,2208638208519.49,11425421494555.74,923.9916286149162,30.0,78.0,0.0
19216,231.0216894977169,13633431981178.115,14036921896896.574,-29224897116.52198,2639612517384.9663,2206918582720.9956,11426534276628.154,924.0391933028919,30.0,78.0,0.0
19217,231.0335806697108,13632826383344.44,14036337177233.613,-29224897143.527187,2637914945564.121,2205200132702.4116,11427647128813.041,924.0867579908676,30.0,78.0,0.0
19218,231.0454718417047,13632222028607.865,14035753700667.738,-29224897170.515553,2636218547792.473,2203482856733.06,11428760050045.8,924.1343226788432,30.0,78.0,0.0
19219,231.05736301369862,13631618914202.293,14035171464432.836,-29224897197.491318,2634523322342.947,2201766753085.863,11429873039287.402,924.1818873668188,30.0,78.0,0.0
19220,231.06925418569253,13631017037389.812,14034590465791.014,-29224897224.449013,2632829267492.0156,2200051820037.298,11430986095523.47,924.2294520547945,30.0,78.0,0.0
19221,231.08114535768647,13630416395459.8,14034010702031.643,-29224897251.388756,2631136381519.692,2198338055867.3765,11432099217763.363,924.2770167427701,30.0,78.0,0.0
19222,231.09303652968038,13629816985727.96,14033432170470.422,-29224897278.310654,2629444662709.4463,2196625458859.5696,11433212405039.31,924.3245814307458,30.0,78.0,0.0
19223,231.10492770167428,13629218805535.521,14032854868448.586,-29224897305.21794,2627754109348.2173,2194914027300.8127,11434325656405.61,924.3721461187215,30.0,78.0,0.0
19224,231.1168188736682,13628621852248.426,14032278793332.072,-29224897332.10961,2626064719726.3413,2193203759481.4443,11435438970937.863,924.4197108066971,30.0,78.0,0.0
19225,231.1287100456621,13628026123256.535,14031703942510.744,-29224897358.983444,2624376492137.52,2191494653695.1672,11436552347732.229,924.4672754946727,30.0,78.0,0.0
19226,231.140601217656,13627431615972.904,14031130313397.656,-29224897385.84266,2622689424878.8228,2189786708239.0476,11437665785904.7,924.5148401826484,30.0,78.0,0.0
19227,231.15249238964992,13626838327833.082,14030557903428.361,-29224897412.68571,2621003516250.6016,2188079921413.4395,11438779284590.469,924.562404870624,30.0,78.0,0.0
19228,231.16438356164383,13626246256294.402,14029986710060.188,-29224897439.50969,2619318764556.462,2186374291521.9502,11439892842943.256,924.6099695585997,30.0,78.0,0.0
19229,231.17627473363774,13625655398835.414,14029416730771.686,-29224897466.3195,2617635168103.313,2184669816871.4844,11441006460134.715,924.6575342465753,30.0,78.0,0.0
19230,231.18816590563165,13625065752955.191,14028847963061.93,-29224897493.11236,2615952725201.221,2182966495772.112,11442120135353.846,924.705098934551,30.0,78.0,0.0
19231,231.20005707762556,13624477316172.799,14028280404449.988,-29224897519.889942,2614271434163.4546,2181264326537.0989,11443233867806.447,924.7526636225266,30.0,78.0,0.0
19232,231.2119482496195,13623890086026.74,14027714052474.36,-29224897546.648342,2612591293306.46,2179563307482.895,11444347656714.572,924.8002283105022,30.0,78.0,0.0
19233,231.2238394216134,13623304060074.371,14027148904692.404,-29224897573.393024,2610912300949.797,2177863436929.0564,11445461501316.023,924.847792998478,30.0,78.0,0.0
19234,231.23573059360731,13622719235891.402,14026584958679.828,-29224897600.119194,2609234455416.0977,2176164713198.2183,11446575400863.875,924.8953576864536,30.0,78.0,0.0
19235,231.24762176560122,13622135611071.447,14026022212030.246,-29224897626.831642,2607557755031.121,2174467134616.1357,11447689354625.982,924.9429223744291,30.0,78.0,0.0
19236,231.25951293759513,13621553183225.494,14025460662354.65,-29224897653.524685,2605882198123.6377,2172770699511.584,11448803361884.562,924.9904870624049,30.0,78.0,0.0
19237,231.27140410958904,13620971949981.508,14024900307281.004,-29224897680.199886,2604207783025.4673,2171075406216.3816,11449917421935.758,925.0380517503805,30.0,78.0,0.0
19238,231.28329528158295,13620391908983.963,14024341144453.777,-29224897706.862152,2602534508071.4326,2169381253065.3472,11451031534089.229,925.085616438356,30.0,78.0,0.0
